storm_id,timestamp,lat,lon,wind_kt,pressure_hpa,basin
2018141N08059,2018-05-21T12:00:00,8.4,58.3,25.0,1004.0,ARB
2018141N08059,2018-05-21T18:00:00,8.7,57.9,25.0,1003.0,ARB
2018141N08059,2018-05-22T00:00:00,9.1,57.5,25.0,1002.0,ARB
2018141N08059,2018-05-22T03:00:00,9.3,57.3,30.0,1001.0,ARB
2018141N08059,2018-05-22T06:00:00,9.6,57.1,30.0,1000.0,ARB
2018141N08059,2018-05-22T12:00:00,10.2,56.8,35.0,998.0,ARB
2018141N08059,2018-05-22T15:00:00,10.5,56.6,35.0,998.0,ARB
2018141N08059,2018-05-22T18:00:00,10.7,56.4,40.0,996.0,ARB
2018141N08059,2018-05-22T21:00:00,10.8,56.2,40.0,996.0,ARB
2018141N08059,2018-05-23T00:00:00,11.0,56.1,45.0,994.0,ARB
2018141N08059,2018-05-23T03:00:00,11.2,56.0,55.0,984.0,ARB
2018141N08059,2018-05-23T06:00:00,11.4,56.1,60.0,980.0,ARB
2018141N08059,2018-05-23T09:00:00,11.7,56.0,65.0,978.0,ARB
2018141N08059,2018-05-23T12:00:00,12.0,56.0,65.0,978.0,ARB
2018141N08059,2018-05-23T15:00:00,12.3,55.9,70.0,976.0,ARB
2018141N08059,2018-05-23T18:00:00,12.5,55.8,70.0,976.0,ARB
2018141N08059,2018-05-23T21:00:00,12.8,55.7,70.0,976.0,ARB
2018141N08059,2018-05-24T00:00:00,13.0,55.7,70.0,974.0,ARB
2018141N08059,2018-05-24T03:00:00,13.3,55.5,75.0,972.0,ARB
2018141N08059,2018-05-24T06:00:00,13.7,55.5,80.0,970.0,ARB
2018141N08059,2018-05-24T09:00:00,14.0,55.4,80.0,970.0,ARB
2018141N08059,2018-05-24T12:00:00,14.3,55.3,80.0,970.0,ARB
2018141N08059,2018-05-24T15:00:00,14.6,55.2,80.0,970.0,ARB
2018141N08059,2018-05-24T18:00:00,14.9,54.9,80.0,970.0,ARB
2018141N08059,2018-05-24T21:00:00,15.1,54.7,80.0,970.0,ARB
2018141N08059,2018-05-25T00:00:00,15.2,54.6,85.0,968.0,ARB
2018141N08059,2018-05-25T03:00:00,15.4,54.6,90.0,964.0,ARB
2018141N08059,2018-05-25T06:00:00,15.8,54.5,90.0,964.0,ARB
2018141N08059,2018-05-25T09:00:00,16.1,54.4,90.0,962.0,ARB
2018141N08059,2018-05-25T12:00:00,16.3,54.3,95.0,960.0,ARB
2018141N08059,2018-05-25T15:00:00,16.5,54.1,95.0,960.0,ARB
2018141N08059,2018-05-25T18:00:00,16.7,53.9,95.0,960.0,ARB
2018141N08059,2018-05-25T21:00:00,17.0,53.6,90.0,964.0,ARB
2018141N08059,2018-05-26T00:00:00,17.2,53.5,75.0,976.0,ARB
2018141N08059,2018-05-26T03:00:00,17.5,53.4,60.0,986.0,ARB
2018141N08059,2018-05-26T06:00:00,17.8,53.3,50.0,988.0,ARB
2018141N08059,2018-05-26T09:00:00,18.2,53.2,45.0,990.0,ARB
2018141N08059,2018-05-26T12:00:00,18.5,53.1,40.0,992.0,ARB
2018141N08059,2018-05-26T15:00:00,18.6,52.9,35.0,994.0,ARB
2018141N08059,2018-05-26T18:00:00,18.8,52.7,30.0,996.0,ARB
2018141N08059,2018-05-27T00:00:00,19.0,52.4,25.0,1000.0,ARB
2018279N11069,2018-10-06T09:00:00,11.0,66.9,25.0,1003.0,ARB
2018279N11069,2018-10-06T12:00:00,11.1,66.8,25.0,1002.0,ARB
2018279N11069,2018-10-06T18:00:00,11.4,66.4,25.0,1002.0,ARB
2018279N11069,2018-10-07T00:00:00,11.5,66.0,25.0,1002.0,ARB
2018279N11069,2018-10-07T03:00:00,11.7,65.7,25.0,1002.0,ARB
2018279N11069,2018-10-07T06:00:00,11.8,65.3,25.0,1002.0,ARB
2018279N11069,2018-10-07T09:00:00,11.8,64.8,30.0,1001.0,ARB
2018279N11069,2018-10-07T12:00:00,12.0,64.3,30.0,1001.0,ARB
2018279N11069,2018-10-07T18:00:00,12.0,63.5,30.0,1000.0,ARB
2018279N11069,2018-10-08T00:00:00,12.1,62.5,35.0,999.0,ARB
2018279N11069,2018-10-08T03:00:00,12.1,62.1,40.0,998.0,ARB
2018279N11069,2018-10-08T06:00:00,12.2,61.9,40.0,997.0,ARB
2018279N11069,2018-10-08T09:00:00,12.3,61.6,45.0,996.0,ARB
2018279N11069,2018-10-08T12:00:00,12.4,61.3,45.0,996.0,ARB
2018279N11069,2018-10-08T15:00:00,12.5,61.1,45.0,996.0,ARB
2018279N11069,2018-10-08T18:00:00,12.6,60.9,45.0,994.0,ARB
2018279N11069,2018-10-08T21:00:00,12.7,60.6,45.0,994.0,ARB
2018279N11069,2018-10-09T00:00:00,12.8,60.5,45.0,994.0,ARB
2018279N11069,2018-10-09T03:00:00,12.9,60.4,45.0,994.0,ARB
2018279N11069,2018-10-09T06:00:00,13.0,60.4,45.0,994.0,ARB
2018279N11069,2018-10-09T09:00:00,13.1,60.3,50.0,992.0,ARB
2018279N11069,2018-10-09T12:00:00,13.2,60.1,55.0,990.0,ARB
2018279N11069,2018-10-09T15:00:00,13.4,59.8,55.0,990.0,ARB
2018279N11069,2018-10-09T18:00:00,13.6,59.6,55.0,990.0,ARB
2018279N11069,2018-10-09T21:00:00,13.7,59.3,60.0,988.0,ARB
2018279N11069,2018-10-10T00:00:00,14.0,59.2,65.0,985.0,ARB
2018279N11069,2018-10-10T03:00:00,14.1,59.1,65.0,984.0,ARB
2018279N11069,2018-10-10T06:00:00,14.2,59.0,75.0,978.0,ARB
2018279N11069,2018-10-10T09:00:00,14.4,58.7,75.0,978.0,ARB
2018279N11069,2018-10-10T12:00:00,14.4,58.6,75.0,978.0,ARB
2018279N11069,2018-10-10T15:00:00,14.5,58.5,75.0,978.0,ARB
2018279N11069,2018-10-10T18:00:00,14.5,58.4,75.0,978.0,ARB
2018279N11069,2018-10-10T21:00:00,14.5,58.4,75.0,978.0,ARB
2018279N11069,2018-10-11T00:00:00,14.6,58.2,75.0,978.0,ARB
2018279N11069,2018-10-11T03:00:00,14.4,58.0,70.0,980.0,ARB
2018279N11069,2018-10-11T06:00:00,14.5,57.9,70.0,980.0,ARB
2018279N11069,2018-10-11T09:00:00,14.5,57.9,70.0,980.0,ARB
2018279N11069,2018-10-11T12:00:00,14.5,57.8,70.0,980.0,ARB
2018279N11069,2018-10-11T15:00:00,14.5,57.8,70.0,980.0,ARB
2018279N11069,2018-10-11T18:00:00,14.6,57.7,70.0,980.0,ARB
2018279N11069,2018-10-11T21:00:00,14.7,57.7,65.0,980.0,ARB
2018279N11069,2018-10-12T00:00:00,14.7,57.6,60.0,984.0,ARB
2018279N11069,2018-10-12T03:00:00,14.6,57.5,55.0,987.0,ARB
2018279N11069,2018-10-12T06:00:00,14.7,57.4,50.0,990.0,ARB
2018279N11069,2018-10-12T09:00:00,14.6,57.2,50.0,990.0,ARB
2018279N11069,2018-10-12T12:00:00,14.7,57.0,50.0,991.0,ARB
2018279N11069,2018-10-12T15:00:00,14.7,56.8,50.0,992.0,ARB
2018279N11069,2018-10-12T18:00:00,14.8,56.5,45.0,994.0,ARB
2018279N11069,2018-10-12T21:00:00,14.8,56.2,45.0,994.0,ARB
2018279N11069,2018-10-13T00:00:00,14.8,55.9,45.0,994.0,ARB
2018279N11069,2018-10-13T03:00:00,14.8,55.6,40.0,994.0,ARB
2018279N11069,2018-10-13T06:00:00,14.9,55.3,40.0,994.0,ARB
2018279N11069,2018-10-13T09:00:00,14.9,54.9,40.0,994.0,ARB
2018279N11069,2018-10-13T12:00:00,14.9,54.5,40.0,994.0,ARB
2018279N11069,2018-10-13T15:00:00,14.9,54.1,40.0,994.0,ARB
2018279N11069,2018-10-13T18:00:00,15.1,53.7,40.0,996.0,ARB
2018279N11069,2018-10-13T21:00:00,15.2,53.3,40.0,996.0,ARB
2018279N11069,2018-10-14T00:00:00,15.4,52.8,40.0,998.0,ARB
2018279N11069,2018-10-14T03:00:00,15.6,52.5,40.0,998.0,ARB
2018279N11069,2018-10-14T06:00:00,15.9,52.2,35.0,999.0,ARB
2018279N11069,2018-10-14T09:00:00,15.9,51.8,30.0,1000.0,ARB
2018279N11069,2018-10-14T12:00:00,16.0,51.4,30.0,1001.0,ARB
2018279N11069,2018-10-14T18:00:00,16.3,50.8,25.0,1002.0,ARB
2018279N11069,2018-10-15T00:00:00,16.2,49.0,25.0,1003.0,ARB
2018281N14088,2018-10-08T03:00:00,14.1,88.4,25.0,1002.0,BOB
2018281N14088,2018-10-08T06:00:00,14.1,88.3,25.0,1002.0,BOB
2018281N14088,2018-10-08T12:00:00,14.3,87.9,25.0,1002.0,BOB
2018281N14088,2018-10-08T18:00:00,14.5,87.5,30.0,1000.0,BOB
2018281N14088,2018-10-09T00:00:00,14.7,87.1,30.0,1000.0,BOB
2018281N14088,2018-10-09T03:00:00,14.7,86.9,30.0,999.0,BOB
2018281N14088,2018-10-09T06:00:00,14.8,86.8,35.0,998.0,BOB
2018281N14088,2018-10-09T09:00:00,14.9,86.7,35.0,997.0,BOB
2018281N14088,2018-10-09T12:00:00,15.1,86.6,40.0,996.0,BOB
2018281N14088,2018-10-09T15:00:00,15.3,86.5,40.0,995.0,BOB
2018281N14088,2018-10-09T18:00:00,15.6,86.3,45.0,996.0,BOB
2018281N14088,2018-10-09T21:00:00,15.8,86.1,50.0,994.0,BOB
2018281N14088,2018-10-10T00:00:00,16.1,86.0,55.0,990.0,BOB
2018281N14088,2018-10-10T03:00:00,16.5,85.9,60.0,988.0,BOB
2018281N14088,2018-10-10T06:00:00,17.0,85.6,70.0,982.0,BOB
2018281N14088,2018-10-10T09:00:00,17.3,85.4,75.0,976.0,BOB
2018281N14088,2018-10-10T12:00:00,17.6,85.3,80.0,972.0,BOB
2018281N14088,2018-10-10T15:00:00,17.8,85.1,80.0,972.0,BOB
2018281N14088,2018-10-10T18:00:00,18.3,85.0,80.0,972.0,BOB
2018281N14088,2018-10-10T21:00:00,18.6,84.6,80.0,972.0,BOB
2018281N14088,2018-10-11T00:00:00,18.8,84.4,80.0,972.0,BOB
2018281N14088,2018-10-11T03:00:00,18.9,84.1,65.0,985.0,BOB
2018281N14088,2018-10-11T06:00:00,19.2,83.9,60.0,988.0,BOB
2018281N14088,2018-10-11T09:00:00,19.4,83.8,50.0,994.0,BOB
2018281N14088,2018-10-11T12:00:00,19.7,83.8,45.0,996.0,BOB
2018281N14088,2018-10-11T15:00:00,19.9,83.9,40.0,998.0,BOB
2018281N14088,2018-10-11T18:00:00,20.1,84.2,30.0,999.0,BOB
2018281N14088,2018-10-12T00:00:00,20.5,84.7,30.0,1000.0,BOB
2018281N14088,2018-10-12T03:00:00,20.7,85.0,30.0,1001.0,BOB
2018281N14088,2018-10-12T06:00:00,20.9,85.3,30.0,1001.0,BOB
2018281N14088,2018-10-12T09:00:00,20.9,85.5,25.0,1002.0,BOB
2018281N14088,2018-10-12T12:00:00,21.2,86.1,25.0,1002.0,BOB
2018281N14088,2018-10-12T18:00:00,21.9,87.2,25.0,1003.0,BOB
2018281N14088,2018-10-12T21:00:00,22.1,87.5,20.0,1004.0,BOB
2018314N12093,2018-11-10T03:00:00,11.7,92.5,25.0,1003.0,BOB
2018314N12093,2018-11-10T06:00:00,12.0,92.0,25.0,1002.0,BOB
2018314N12093,2018-11-10T12:00:00,12.7,90.7,30.0,1001.0,BOB
2018314N12093,2018-11-10T18:00:00,13.1,89.8,30.0,1000.0,BOB
2018314N12093,2018-11-11T00:00:00,13.4,89.2,35.0,999.0,BOB
2018314N12093,2018-11-11T03:00:00,13.4,88.8,35.0,999.0,BOB
2018314N12093,2018-11-11T06:00:00,13.4,88.5,40.0,998.0,BOB
2018314N12093,2018-11-11T09:00:00,13.4,88.0,40.0,998.0,BOB
2018314N12093,2018-11-11T12:00:00,13.3,87.7,40.0,998.0,BOB
2018314N12093,2018-11-11T15:00:00,13.2,87.5,40.0,998.0,BOB
2018314N12093,2018-11-11T18:00:00,13.1,87.3,40.0,998.0,BOB
2018314N12093,2018-11-11T21:00:00,13.1,87.2,40.0,998.0,BOB
2018314N12093,2018-11-12T00:00:00,12.9,87.2,40.0,998.0,BOB
2018314N12093,2018-11-12T03:00:00,12.7,87.2,40.0,998.0,BOB
2018314N12093,2018-11-12T06:00:00,12.6,87.3,40.0,998.0,BOB
2018314N12093,2018-11-12T09:00:00,12.7,87.3,40.0,998.0,BOB
2018314N12093,2018-11-12T12:00:00,12.8,87.6,40.0,998.0,BOB
2018314N12093,2018-11-12T15:00:00,13.0,87.6,40.0,998.0,BOB
2018314N12093,2018-11-12T18:00:00,13.3,87.6,45.0,996.0,BOB
2018314N12093,2018-11-12T21:00:00,13.4,87.4,45.0,996.0,BOB
2018314N12093,2018-11-13T00:00:00,13.6,87.2,40.0,998.0,BOB
2018314N12093,2018-11-13T03:00:00,13.6,87.0,40.0,998.0,BOB
2018314N12093,2018-11-13T06:00:00,13.7,86.6,40.0,998.0,BOB
2018314N12093,2018-11-13T09:00:00,13.6,86.3,40.0,998.0,BOB
2018314N12093,2018-11-13T12:00:00,13.5,86.1,40.0,998.0,BOB
2018314N12093,2018-11-13T15:00:00,13.4,85.9,40.0,998.0,BOB
2018314N12093,2018-11-13T18:00:00,13.3,85.7,40.0,998.0,BOB
2018314N12093,2018-11-13T21:00:00,13.2,85.5,40.0,998.0,BOB
2018314N12093,2018-11-14T00:00:00,13.1,85.4,40.0,998.0,BOB
2018314N12093,2018-11-14T03:00:00,13.0,85.2,40.0,998.0,BOB
2018314N12093,2018-11-14T06:00:00,12.8,85.0,45.0,996.0,BOB
2018314N12093,2018-11-14T09:00:00,12.6,84.7,45.0,996.0,BOB
2018314N12093,2018-11-14T12:00:00,12.4,84.4,45.0,996.0,BOB
2018314N12093,2018-11-14T15:00:00,12.2,84.2,45.0,996.0,BOB
2018314N12093,2018-11-14T18:00:00,12.0,83.9,45.0,996.0,BOB
2018314N12093,2018-11-14T21:00:00,11.8,83.5,45.0,996.0,BOB
2018314N12093,2018-11-15T00:00:00,11.5,83.1,45.0,996.0,BOB
2018314N12093,2018-11-15T03:00:00,11.4,82.7,50.0,994.0,BOB
2018314N12093,2018-11-15T06:00:00,11.3,82.2,55.0,990.0,BOB
2018314N12093,2018-11-15T09:00:00,11.1,81.6,55.0,989.0,BOB
2018314N12093,2018-11-15T12:00:00,10.9,81.2,60.0,988.0,BOB
2018314N12093,2018-11-15T15:00:00,10.7,80.7,65.0,984.0,BOB
2018314N12093,2018-11-15T18:00:00,10.6,80.3,70.0,976.0,BOB
2018314N12093,2018-11-15T21:00:00,10.5,79.7,70.0,976.0,BOB
2018314N12093,2018-11-16T00:00:00,10.5,79.1,55.0,990.0,BOB
2018314N12093,2018-11-16T03:00:00,10.4,78.5,45.0,996.0,BOB
2018314N12093,2018-11-16T06:00:00,10.5,77.6,30.0,1000.0,ARB
2018314N12093,2018-11-16T12:00:00,10.0,76.3,25.0,1002.0,ARB
2018314N12093,2018-11-16T18:00:00,9.8,75.3,25.0,1002.0,ARB
2018314N12093,2018-11-17T00:00:00,9.7,74.2,30.0,1003.0,ARB
2018314N12093,2018-11-17T03:00:00,9.7,73.5,30.0,1003.0,ARB
2018314N12093,2018-11-17T06:00:00,9.8,73.0,30.0,1003.0,ARB
2018314N12093,2018-11-17T12:00:00,10.0,71.8,30.0,1003.0,ARB
2018314N12093,2018-11-17T18:00:00,10.2,70.7,30.0,1003.0,ARB
2018314N12093,2018-11-18T00:00:00,10.4,69.8,30.0,1003.0,ARB
2018314N12093,2018-11-18T03:00:00,10.5,69.5,30.0,1003.0,ARB
2018314N12093,2018-11-18T06:00:00,10.5,69.1,30.0,1003.0,ARB
2018314N12093,2018-11-18T12:00:00,10.6,68.5,30.0,1003.0,ARB
